OBJECTID,Kód_ADM,Kód_obce,Název_obce,Název_MOMC,Název_MOP,Kód_části_obce,Název_části_obce,Název_ulice,Typ_SO,Číslo_domovní,Číslo_orientační,Znak_čísla_orientačního,PSČ,Souřadnice_Y,Souřadnice_X,Platí_Od,x,y
160,"21,724,831","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U obecního dvora,č.p.,802,8,,"11,000","742,595.290000000040000","1,042,611.819999999900000",2013-12-11T00:00:00,"458,838.205290807410000","5,549,027.588284635900000"
161,"21,724,849","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,803,12,,"11,000","742,669.229999999980000","1,042,570.189999999900000",2013-12-11T00:00:00,"458,759.538005147130000","5,549,059.357768017800000"
162,"21,724,857","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,804,14,,"11,000","742,671.000000000000000","1,042,553.000000000000000",2013-12-11T00:00:00,"458,755.572541685770000","5,549,076.174518914900000"
163,"21,724,865","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,804,14,,"11,000","742,662.000000000000000","1,042,545.000000000000000",2013-12-11T00:00:00,"458,763.467647627000000","5,549,085.264026504000000"
164,"21,724,890","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Anežská,č.p.,808,2,,"11,000","742,532.000000000000000","1,042,582.000000000000000",2013-12-11T00:00:00,"458,897.125028526410000","5,549,065.293948575900000"
165,"21,724,903","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Haštalské náměstí,č.p.,808,5,,"11,000","742,530.000000000000000","1,042,591.000000000000000",2013-12-11T00:00:00,"458,900.265400777570000","5,549,056.627381773700000"
166,"21,724,997","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,847,23,,"11,000","742,673.000000000000000","1,042,498.000000000000000",2013-12-11T00:00:00,"458,746.517075460400000","5,549,130.451335562400000"
167,"21,725,021","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,847,1,,"11,000","742,759.000000000000000","1,042,520.000000000000000",2013-12-11T00:00:00,"458,664.073986783620000","5,549,097.579187739600000"
168,"21,725,039","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,848,4,,"11,000","742,772.900000000020000","1,042,544.560000000100000",2013-12-11T00:00:00,"458,653.449789617210000","5,549,071.439907793000000"
169,"21,725,047","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,849,6,,"11,000","742,753.930000000050000","1,042,545.080000000000000",2013-12-11T00:00:00,"458,672.326084076430000","5,549,073.363624753400000"
170,"21,725,055","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,850,8,,"11,000","742,734.359999999990000","1,042,544.310000000100000",2013-12-11T00:00:00,"458,691.631419499400000","5,549,076.643564570700000"
171,"21,725,063","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,851,10,,"11,000","742,716.760000000010000","1,042,545.130000000000000",2013-12-11T00:00:00,"458,709.187886198050000","5,549,078.093658113900000"
172,"21,725,071","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,852,21,,"11,000","742,688.000000000000000","1,042,550.000000000000000",2013-12-11T00:00:00,"458,738.330673123710000","5,549,076.963106991700000"
173,"21,725,080","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,852,12,,"11,000","742,695.000000000000000","1,042,540.000000000000000",2013-12-11T00:00:00,"458,730.104035045020000","5,549,085.978263728300000"
174,"21,725,098","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,853,19,,"11,000","742,699.229999999980000","1,042,565.560000000100000",2013-12-11T00:00:00,"458,729.196576216260000","5,549,060.090902777400000"
175,"21,725,101","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,854,21,,"11,000","742,703.000000000000000","1,042,596.000000000000000",2013-12-11T00:00:00,"458,729.372739258220000","5,549,029.424039326600000"
176,"21,725,110","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,854,17,,"11,000","742,695.000000000000000","1,042,587.000000000000000",2013-12-11T00:00:00,"458,736.147720682430000","5,549,039.376487014800000"
177,"21,725,128","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,855,19,,"11,000","742,722.920000000040000","1,042,588.260000000000000",2013-12-11T00:00:00,"458,708.626074040310000","5,549,034.536988917700000"
178,"21,725,136","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,856,18,,"11,000","742,724.430000000050000","1,042,620.530000000000000",2013-12-11T00:00:00,"458,711.278425998050000","5,549,002.346238317000000"
179,"21,725,144","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,857,20,,"11,000","742,705.000000000000000","1,042,614.000000000000000",2013-12-11T00:00:00,"458,729.704272389410000","5,549,011.319374293100000"
