,address,X,Y,probab
205,a123,458963.3238965133,5548990.198139062,0.32770083045033876
194,a171,458709.18788619805,5549078.093658114,0.3263358236700719
94,a85,458955.18628160283,5548902.20545155,0.32628425483069395
180,a70,458949.5863217274,5548855.827776799,0.325813042720416
191,a172,458738.3306731237,5549076.963106992,0.32532301617667686
59,a49,458769.7000854695,5548794.731765695,0.3242348329270557
179,a73,458917.6853268072,5548829.016176108,0.32402704872455634
48,a7,458586.52340089343,5548918.143808903,0.32394340943546296
156,a259,458969.9559095893,5548972.799659103,0.32057396079007844
54,a137,458944.24153750855,5549067.371472072,0.31898358662573867
38,a9,458586.1193450242,5548936.108006263,0.31850455956473783
79,a162,458755.5725416858,5549076.174518915,0.31657800426707283
8,a226,458732.80736539233,5548804.2335416805,0.31537044456173446
176,a74,458876.8287727684,5548813.57512995,0.3128337149100844
160,a140,458870.5565221207,5549044.708940785,0.3107581375592925
231,a54,458820.33204993047,5548802.275977286,0.3102682575573159
87,a203,458700.92971763574,5548802.740952998,0.309417081952907
193,a170,458691.6314194994,5549076.643564571,0.3084673945566913
192,a173,458730.104035045,5549085.978263728,0.3073630401589572
173,a99,458984.112027891,5548946.516722983,0.30385006218965654
52,a131,459013.05451794993,5549042.319089849,0.3028242790899085
110,a191,458627.0788188353,5549025.231819676,0.3018355727002421
230,a53,458847.49844386335,5548802.935779648,0.30083088200939717
25,a100,458984.5520270737,5548958.672221562,0.2989541758655908
178,a72,458897.6346232714,5548820.366661938,0.29805349665051417
214,a243,458666.18392832857,5548801.441001236,0.29802164756971844
227,a50,458833.4972523041,5548800.736904383,0.2976181914241141
226,a234,458993.19546931423,5549047.50681784,0.29741027940714615
72,a165,458900.2654007776,5549056.627381774,0.2956927789695858
78,a163,458763.467647627,5549085.264026504,0.29408081029618033
159,a141,458877.460091074,5549053.669859972,0.2936743091540058
43,a2,458600.1524663791,5548981.129422482,0.291839834780783
126,a95,459022.31869883183,5549025.070407284,0.2916326628360305
128,a97,459001.5336409621,5549014.309257189,0.29094615923340594
93,a86,458975.9095699629,5548911.032926502,0.29066606065045564
172,a98,458981.3372963397,5548983.460393317,0.29057773226787675
70,a169,458672.3260840764,5549073.363624753,0.2859105477270984
99,a14,458579.9001497198,5548952.733305143,0.28491740829991336
215,a244,458640.40400377195,5548798.097708764,0.28464957253875234
100,a15,458587.99518464506,5548867.9244993795,0.28313733463249136
42,a1,458598.6015854925,5548988.268017082,0.28273657869241814
26,a38,458600.0818624245,5548832.954671675,0.28047339275515504
60,a48,458757.52768249623,5548780.530469157,0.2801837993727224
103,a10,458569.96454387903,5548896.951395864,0.27790430265932475
111,a192,458633.64701388683,5549048.828689696,0.2767657442226886
232,a55,458862.05089353863,5548791.5550726205,0.2761241980570339
73,a164,458897.1250285264,5549065.293948576,0.27587679587268016
56,a135,458934.66483380087,5549078.167455455,0.2743309341483126
85,a201,458600.12453478575,5549007.621388327,0.27235776595339495
150,a24,458562.86613492854,5548914.370056959,0.2723517341866812
41,a235,458948.2029192336,5548826.924660334,0.27167133057492654
242,a157,458799.54868671857,5549086.91860746,0.2716343851435684
92,a87,458991.8986674715,5548925.346072191,0.2707969628843986
104,a11,458575.2233459288,5548881.512212006,0.27056369721896123
9,a227,458727.42208007537,5548780.144825574,0.2695795283330358
263,a69,458969.0409566406,5548865.186386749,0.2689414708602145
71,a168,458653.4497896172,5549071.439907793,0.2686195980367703
127,a96,458997.16919894516,5548985.069956854,0.26785498780289313
61,a47,458745.8582695965,5548775.044788603,0.2671679041889601
101,a16,458581.734560187,5548854.005938582,0.26541669968620596
28,a228,458712.67763727996,5548777.224475129,0.26260876463307
65,a43,458613.15280077234,5548809.908471165,0.2622712637239919
147,a23,458555.75338035356,5548932.210303308,0.2604999696262927
86,a202,458605.356448655,5549029.472165519,0.26010973417987787
213,a242,458898.520017812,5549077.70436243,0.25561119933152293
84,a200,458585.508679132,5549003.7095151525,0.2537124667830689
198,a229,458688.14642845094,5548772.026715225,0.2537108244836014
238,a230,458671.7675022958,5548773.935413029,0.25155258084422105
106,a13,458566.81821171753,5548969.023116866,0.2511069261658412
83,a88,459002.3655549316,5548914.605042728,0.2503496425153372
105,a12,458573.207427172,5548981.950148996,0.25007299946270034
55,a134,458956.1503847167,5549092.46750197,0.24791929824872475
62,a46,458744.99552074634,5548760.70715137,0.24746573138539074
148,a22,458549.3384802267,5548948.245628772,0.24236794796838818
27,a39,458586.34157693945,5548824.468197359,0.24196810914532005
112,a193,458625.64422078896,5549067.39031782,0.24191155665355088
74,a167,458664.0739867836,5549097.57918774,0.24077534735641054
264,a68,458990.5613776194,5548876.496599026,0.24061366072515997
113,a194,458632.6763818702,5549075.359711453,0.24001099023968028
58,a139,458981.90524966177,5549077.579228058,0.23978199121614185
129,a90,459016.6870446969,5548928.56077452,0.23926464806109854
235,a236,458974.4600110911,5548834.362649556,0.2387789738153372
142,a94,459025.1081361212,5548997.575508786,0.2370658106397469
237,a231,458702.4880537102,5548754.730755657,0.23374359520255417
132,a93,459037.7060810402,5549023.033119742,0.23369407585961602
64,a44,458566.92668070644,5548999.283290306,0.23341307768863384
97,a18,458562.8039721912,5548844.493484858,0.23303229698675096
75,a166,458746.5170754604,5549130.451335562,0.23289543405399263
216,a245,458626.9826326091,5548777.201278167,0.23270465043300975
82,a89,459027.0423940737,5548942.00215351,0.23155352827877557
202,a265,458548.9705701526,5548966.708533987,0.23138220602387785
257,a67,459003.24862935767,5548884.473472502,0.22987645316345506
66,a42,458598.4316389803,5548801.133478023,0.2278673293902445
146,a20,458542.0561268246,5548886.6980924215,0.22756867686758914
258,a66,459000.4769728491,5548866.974574966,0.22618784216625681
98,a19,458548.6153893769,5548870.016074078,0.2260372060391858
130,a91,459023.9963247813,5548913.014483055,0.224260249760686
102,a17,458549.2710620053,5548847.779476855,0.21886366972958946
49,a132,459036.2793690292,5549048.960552424,0.2182714438218304
63,a45,458553.1365938354,5549004.552339448,0.2174224244779273
145,a21,458537.16355396993,5548972.234758707,0.21657501137632643
255,a65,459022.78111511655,5548897.1188377645,0.2164691381947357
67,a41,458569.1219012365,5548819.099536087,0.21486434117231715
225,a59,459003.2145298375,5548838.091707449,0.20993004259954742
131,a92,459047.36193549447,5548940.493596455,0.2096423419631453
256,a64,459025.96506768186,5548880.886319006,0.2065250564142336
261,a63,459020.987801522,5548856.5279011335,0.20405864547926506
117,a198,458601.6444255039,5549081.417350182,0.2040030615069999
40,a238,458548.6548226224,5549027.3715228345,0.20135403103301702
68,a40,458565.7072949186,5548806.55826625,0.20003026515985053
39,a239,459032.8996405853,5549069.19041056,0.19659852417440093
260,a60,459013.1670610374,5548831.316786384,0.196452369885363
31,a30,458562.02264879923,5549056.921472229,0.19226862273473216
233,a56,459009.4520852631,5548818.292959277,0.1902512615335321
262,a62,459038.96402221546,5548857.850961659,0.18961379721341415
224,a58,459029.8945681397,5548834.494312894,0.18564318289309772
69,a240,458541.5297848452,5549044.917797398,0.18537096609974454
254,a250,459004.33876584936,5548803.535153514,0.18318557197817256
234,a57,459042.61875444464,5548845.218289327,0.18265348726211117
199,a249,459058.9048807509,5548873.6444711,0.17965694618204045
50,a133,459026.1402386194,5549095.6562769115,0.1782903773873175
118,a199,458573.6413114583,5549102.990839038,0.17047412626286043
259,a61,459064.6182528427,5548849.724769071,0.17047309116842352
165,a262,459061.998206364,5548820.328573832,0.15920721391848194
